latitude,"The distance north or south of the equator"
lemonade,"A drink made from lemon juice and sugar"
librarian,"A person who works in a library"
lifeguard,"A person who watches over swimmers for safety"
lightning,"A discharge of electricity in a storm"
macaroni,"A type of pasta shaped like small tubes"
magician,"A performer who does magic tricks"
marathon,"A long-distance running race of 26 miles"
medieval,"Relating to the Middle Ages in history"
memories,"Past experiences stored in the mind"
merchant,"A person who buys and sells goods"
midnight,"The middle of the night, 12 o'clock"
millionaire,"A person with assets worth at least a million"
mongoose,"A small carnivorous mammal known for fighting snakes"
monument,"A statue or structure built to honor someone"
mosquito,"A small flying insect that bites and sucks blood"
musician,"A person who plays or composes music"
nautical,"Relating to ships and sailing"
navigate,"To plan and direct the route of a ship or aircraft"
negative,"The opposite of positive"
nightfall,"The onset of darkness at the end of the day"
nitrogen,"A colorless gas that makes up most of Earth's atmosphere"
notebook,"A book with blank pages for writing"
novelist,"A person who writes novels"
nutrition,"The process of providing the body with food"
obstacle,"Something that blocks or hinders progress"
occupant,"A person who lives or works in a place"
octopus,"A sea creature with eight arms"
optimist,"A person who tends to see the best in things"
organize,"To arrange things in a systematic way"
origami,"The Japanese art of paper folding"
overflow,"When liquid spills over the edge of a container"
overlook,"A high place with a view, or to miss something"
overture,"An introduction to a musical work"
pangolin,"A scaly mammal that rolls into a ball when threatened"
panorama,"A wide view of an area"
paradise,"A place of great beauty and happiness"
parrot,"A colorful bird known for mimicking speech"
passport,"A document used for international travel"
patience,"The ability to wait calmly"
pelican,"A large water bird with a pouch in its beak"
pendulum,"A weight on a string that swings back and forth"
penguin,"A flightless bird that lives in cold climates"
pentagon,"A five-sided polygon"
perfume,"A fragrant liquid worn on the body"
pharmacy,"A store where medicines are dispensed"
pheasant,"A large colorful bird often hunted for sport"
physician,"A medical doctor"
pianist,"A person who plays the piano"
pineapple,"A tropical fruit with a spiky exterior"
platypus,"An Australian mammal that lays eggs"
plumber,"A person who installs and repairs water pipes"
polished,"Made smooth and shiny"
porpoise,"A small marine mammal related to dolphins"
portrait,"A painting or photo of a person"
postcard,"A card sent by mail, usually with a picture"
poultry,"Domesticated birds raised for eggs or meat"
predator,"An animal that hunts other animals for food"
premiere,"The first public performance of a show"
primate,"A group of mammals including monkeys and humans"
princess,"A daughter of a king or queen"
printing,"The process of producing text or images on paper"
prodigy,"A young person with exceptional talent"
professor,"A teacher at a university or college"
progress,"Movement toward a better state"
propeller,"A rotating device used to move aircraft or ships"
province,"A region of a country with its own government"
pterodactyl,"A flying reptile from the age of dinosaurs"
puffin,"A seabird with a colorful beak"
pyramid,"An ancient stone structure with a triangular shape"
question,"A sentence asking for information"
quicksand,"Loose wet sand that sucks things in"
raccoon,"A nocturnal animal with a masked face"
rainforest,"A dense tropical forest with heavy rainfall"
raspberry,"A small red berry with a tart flavor"
reception,"The area where visitors are greeted"
recorder,"A woodwind instrument or a device that records"
rectangle,"A four-sided shape with right angles"
reflection,"An image seen in a mirror or water"
reindeer,"A deer known for pulling Santa's sleigh"
reptile,"A cold-blooded vertebrate with scaly skin"
research,"Careful study to discover new facts"
reservoir,"A large natural or artificial lake"
resident,"A person who lives in a particular place"
revolution,"A dramatic change or a full rotation"
rhinoceros,"A large thick-skinned animal with a horn"
riverbank,"The land alongside a river"
robotics,"The science of designing and building robots"
rooster,"A male chicken known for crowing at dawn"
ruby,"A precious red gemstone"
satellite,"An object orbiting a planet"
savanna,"A flat grassland in tropical regions"
scarecrow,"A figure set up to frighten birds away from crops"
scorpion,"An arachnid with a venomous tail"
seafarer,"A person who travels or works at sea"
seagull,"A common coastal bird"
seahorse,"A small fish with a horse-like head"
seashell,"The hard outer covering of a sea creature"
seashore,"The land along the edge of the sea"
seasons,"The four divisions of the year"
secretary,"A person who handles correspondence and administration"
sequence,"A particular order in which things follow"
serpent,"Another word for a snake"
shipwreck,"The remains of a sunken ship"
skeleton,"The bony framework of the body"
skyscraper,"A very tall building"
slippers,"Soft shoes worn indoors"
snowflake,"A single crystal of snow"
software,"Programs used by a computer"
soldier,"A person who serves in an army"
sommelier,"An expert in wines"
sorcerer,"A person who practices magic"
sparrow,"A small common bird"
spectrum,"A range of colors or values"
spelunker,"A person who explores caves"
spinach,"A leafy green vegetable"
squirrel,"A small rodent known for collecting nuts"
stallion,"An adult male horse"
starfish,"A sea creature shaped like a star"
stethoscope,"A tool doctors use to listen to the heart"
stopwatch,"A watch used to measure elapsed time"
storyteller,"A person who tells stories"
strawberry,"A red fruit often used in desserts"
submarine,"A watercraft that operates underwater"
sunflower,"A tall plant with a large yellow flower"
superman,"A fictional hero with extraordinary powers"
surgeon,"A doctor who performs operations"
swallow,"A small migratory bird with a forked tail"
symphony,"A long musical composition for an orchestra"
tablecloth,"A cloth used to cover a dining table"
tambourine,"A percussion instrument with metal disks"
tangerine,"A small orange citrus fruit"
tapestry,"A piece of thick textile with woven pictures"
taxicab,"A car available for hire with a driver"
telescope,"An instrument for viewing distant objects"
territory,"An area of land under the control of a ruler"
thankful,"Feeling or expressing gratitude"
therapist,"A person who provides treatment for disorders"
thermometer,"A device used to measure temperature"
thesaurus,"A reference book of synonyms"
thunderstorm,"A storm with thunder and lightning"
toadstool,"A mushroom, especially a poisonous one"
tortoise,"A slow-moving reptile with a hard shell"
toucan,"A tropical bird with a large colorful beak"
tournament,"A series of contests between competitors"
traveler,"A person who journeys to different places"
treadmill,"A machine used for walking or running in place"
treetop,"The uppermost part of a tree"
triangle,"A shape with three sides"
tricycle,"A vehicle with three wheels"
trombone,"A brass instrument with a slide"
tropical,"Relating to the region near the equator"
trumpet,"A brass wind instrument"
turbine,"A machine that generates power from fluid flow"
twilight,"The soft light before sunrise or after sunset"
typewriter,"A mechanical device for typing text"
unicorn,"A mythical horse with a single horn"
universe,"All of space and everything in it"
vacation,"A period of time away from work for rest"
vegetable,"A plant or part of a plant used as food"
velocity,"The speed of something in a given direction"
videogame,"An electronic game played on a screen"
villager,"A person who lives in a village"
vineyard,"A plantation of grapevines"
violinist,"A person who plays the violin"
visitor,"A person who visits a place"
vitamins,"Nutrients essential for good health"
volcano,"A mountain with a vent through which lava erupts"
vulture,"A large bird that feeds on dead animals"
warrior,"A brave or experienced soldier or fighter"
watercolor,"A type of paint or a painting made with it"
weathervane,"A device that shows wind direction"
whirlpool,"A rapidly rotating mass of water"
wildfire,"An uncontrolled fire in a natural area"
wildlife,"Animals and plants living in their natural habitat"
windmill,"A structure that uses wind to generate power"
wristwatch,"A watch worn on the wrist"
xylophone,"A musical instrument with wooden bars"
yardstick,"A measuring stick one yard long"
zeppelin,"A type of rigid airship"
zookeeper,"A person who looks after animals in a zoo"
acrobat,"A performer who does gymnastic feats"
adventure,"An exciting or unusual experience"
alligator,"A large reptile similar to a crocodile"
alphabet,"The set of letters used in a language"
ambulance,"A vehicle for transporting sick or injured people"
anemone,"A sea creature or a type of flower"
anteater,"A mammal that feeds on ants and termites"
antelope,"A fast-running hoofed animal"
aquarium,"A tank where fish and aquatic life are kept"
archaeologist,"A person who studies ancient civilizations"
archery,"The sport of shooting arrows with a bow"
armadillo,"A mammal with a bony armored shell"
astronaut,"A person trained to travel in space"
astronomer,"A scientist who studies stars and space"
atmosphere,"The layer of gases surrounding Earth"
avalanche,"A mass of snow and ice falling down a mountain"
baboon,"A large primate with a dog-like face"
badminton,"A sport played with rackets and a shuttlecock"
ballerina,"A female ballet dancer"
bamboo,"A fast-growing grass used in construction"
bandana,"A large colored handkerchief"
barracuda,"A large predatory fish"
basilica,"A large church or public building"
battalion,"A large group of soldiers"
beehive,"A structure where bees live and make honey"
binoculars,"An optical instrument for viewing distant objects"
bioluminescent,"An organism that produces its own light"
birthplace,"The place where someone was born"
blizzard,"A severe snowstorm with strong winds"
blossom,"The flowers of a tree or plant"
blueberry,"A small blue fruit that grows on bushes"
blueprint,"A technical drawing or plan"
bookworm,"A person who loves to read"
boredom,"The state of feeling uninterested"
boundary,"A line that marks the limits of an area"
breakfast,"The first meal of the day"
broccoli,"A green vegetable with a tree-like shape"
buoyancy,"The ability to float in water"
burgundy,"A dark red color named after a wine region"
cabbage,"A leafy green vegetable"
cactus,"A plant adapted to dry environments"
caffeine,"A stimulant found in coffee and tea"
calligraphy,"The art of beautiful handwriting"
camouflage,"Disguise to blend into surroundings"
campfire,"An outdoor fire at a campsite"
candidate,"A person applying for a position"
cannonball,"A round metal ball fired from a cannon"
capsule,"A small container or a spacecraft module"
cardinal,"A bright red North American bird"
carousel,"A rotating fairground ride"
cartridge,"A container holding a substance for a device"
casserole,"A kind of stew cooked slowly in an oven"
cathedral,"A large and important Christian church"
celebrity,"A famous person"
ceramics,"Objects made from clay and hardened by heat"
ceremony,"A formal event marking an occasion"
challenge,"Something that requires effort to overcome"
chameleon,"A lizard that can change its skin color"
champion,"A winner of a competition"
charcoal,"A black material used for drawing or fuel"
cheetah,"The fastest land animal"
chemistry,"The study of substances and their interactions"
chimpanzee,"A great ape closely related to humans"
chipmunk,"A small striped rodent"
chrysalis,"The pupal stage of a butterfly"
cinnamon,"A spice made from tree bark"
civilization,"An advanced human society"
cliffhanger,"An ending that leaves the outcome uncertain"
clockwork,"A mechanism driven by a wound spring"
coconut,"A large tropical fruit with white flesh"
collision,"A crash between two objects"
comet,"A small icy body orbiting the sun"
commander,"A person in charge of a military unit"
compass,"A device for finding direction"
composer,"A person who writes music"
concerto,"A musical composition for a solo instrument"
conductor,"A person who leads an orchestra"
confusion,"The state of being bewildered"
constellation,"A group of stars forming a pattern"
construction,"The process of building something"
continent,"One of Earth's large landmasses"
contraband,"Goods that are illegal to import or export"
conversation,"A talk between two or more people"
conveyor,"A moving belt used to transport objects"
coordinates,"Numbers used to locate a point in space"
copperhead,"A venomous snake with a copper-colored head"
cormorant,"A large black seabird"
corridor,"A long passage in a building"
cosmonaut,"A Russian astronaut"
costume,"Clothing worn for a performance or event"
countdown,"A count backwards to zero before an event"
courtyard,"An open area surrounded by buildings"
coyote,"A wild dog found in North America"
cranberry,"A small sour red berry"
creature,"A living being, especially an animal"
crestfallen,"Sad and disappointed"
crossbow,"A weapon that shoots bolts or arrows"
cubicle,"A small partitioned area in an office"
cucumber,"A long green vegetable"
cupboard,"A cabinet used for storage"
currency,"The system of money used in a country"
cyclone,"A large rotating storm system"
cylinder,"A three-dimensional shape with circular ends"
daffodil,"A yellow spring flower"
dandelion,"A yellow wildflower with a fluffy seed head"
dartboard,"A circular board used in the game of darts"
daydream,"A pleasant fantasy while awake"
deadline,"The latest time something must be done"
deepwater,"Relating to deep parts of the ocean"
detective,"A person who investigates crimes"
dimension,"A measurable extent of space"
diplomat,"A person representing their country abroad"
direction,"The course along which something moves"
discovery,"Finding something previously unknown"
disguise,"A costume worn to hide one's identity"
distance,"The amount of space between two points"
diversity,"A range of different things or people"
document,"A written or printed record"
dolphin,"An intelligent marine mammal"
dominoes,"A game played with rectangular tiles"
doorstep,"The step in front of a door"
dormitory,"A large bedroom shared by many people"
dragonfly,"An insect with large wings and a long body"
drawbridge,"A bridge that can be raised or lowered"
driftwood,"Wood floating in or washed up by water"
drumstick,"A stick used to play a drum"
dumbbell,"A weight used for exercise"
dungeon,"An underground prison"
ecosystem,"A community of living things and their environment"
education,"The process of learning and teaching"
electricity,"A form of energy used to power devices"
elephant,"The largest land animal with a long trunk"
elevation,"The height above sea level"
emerald,"A bright green precious gemstone"
emperor,"The ruler of an empire"
encyclopedia,"A comprehensive reference book"
engineering,"The application of science to design structures"
environment,"The natural world around us"
equator,"The imaginary line around the middle of Earth"
escalator,"A moving staircase"
everest,"The highest mountain in the world"
evolution,"The gradual development of species over time"
excalibur,"The legendary sword of King Arthur"
expedition,"A journey undertaken for a specific purpose"
explosion,"A sudden release of energy"
explorer,"A person who travels to discover new places"
eyebrow,"The strip of hair above the eye"
falafel,"A Middle Eastern food made from chickpeas"
familiar,"Something well known or easily recognized"
farmhouse,"A house on a farm"
feather,"A light flat structure forming a bird's plumage"
festival,"A celebration or series of events"
fictional,"Relating to something that is not real"
fingerprint,"The unique pattern of ridges on a fingertip"
firetruck,"A vehicle used to fight fires"
fisherman,"A person who catches fish"
flagship,"The most important product or feature"
flashlight,"A portable battery-powered light"
floodgate,"A gate used to control water flow"
flourish,"To grow or develop in a healthy way"
flute,"A wind instrument played by blowing across a hole"
football,"A sport played with an oval or round ball"
footprint,"A mark left by a foot on a surface"
foundation,"The base on which something is built"
fragrance,"A pleasant smell"
freelance,"Working independently for multiple clients"
freshwater,"Water that is not salty"
frostbite,"Injury caused by extreme cold"
fruitcake,"A dense cake containing dried fruits and nuts"
function,"The purpose or role of something"
furlong,"A unit of distance equal to one eighth of a mile"
galleon,"A large sailing ship used in the 15th-17th centuries"
gardener,"A person who tends a garden"
gargoyle,"A carved stone figure on a building"
gemstone,"A precious or semi-precious mineral"
generator,"A machine that produces electricity"
giraffe,"The tallest living animal with a very long neck"
glacier,"A slow-moving mass of ice"
gladiolus,"A plant with sword-shaped leaves and tall flowers"
glasswork,"Objects made from glass"
glowworm,"A type of insect that produces light"
grapevine,"A vine on which grapes grow"
grassland,"A large area of land covered with grass"
gratitude,"The quality of being thankful"
graveyard,"A place where people are buried"
greyhound,"A fast breed of dog used in racing"
grizzly,"A large bear found in North America"
groundhog,"A burrowing rodent also called a woodchuck"
guacamole,"A dip made from mashed avocado"
guardian,"A person who protects or defends someone"
guillotine,"A device used for execution by beheading"
hammock,"A hanging bed made of fabric or rope"
hamster,"A small rodent often kept as a pet"
handshake,"A gesture of greeting or agreement"
hardship,"Difficult conditions or suffering"
harmony,"A pleasing combination of elements"
harpoon,"A spear-like weapon used for hunting whales"
harvest,"The process of gathering crops"
headband,"A band worn around the head"
headline,"The title of a newspaper article"
hedgehog,"A small mammal covered in spines"
hemisphere,"Half of the Earth"
heritage,"Traditions passed down from earlier generations"
hideaway,"A place of concealment or retreat"
hieroglyph,"A symbol used in ancient Egyptian writing"
highland,"An area of high or hilly land"
hippocampus,"A region of the brain or a sea horse"
hippopotamus,"A large semi-aquatic African mammal"
homeland,"The country where someone was born"
honeydew,"A type of melon with sweet green flesh"
honorable,"Deserving of respect and admiration"
hopscotch,"A children's game played on a drawn grid"
hornbill,"A bird with a large curved beak"
horseshoe,"A U-shaped metal shoe for horses"
hovercraft,"A vehicle that travels over land or water on air"
hummingbird,"A tiny bird that hovers while feeding"
hyena,"A carnivorous mammal known for its laugh-like call"
hypothermia,"A dangerous drop in body temperature"
ibis,"A wading bird with a long curved beak"
iceberg,"A large floating mass of ice"
identity,"Who or what a person or thing is"
iguana,"A large tropical lizard"
illuminate,"To light up or make clear"
illusion,"A false impression or perception"
imagination,"The ability to create ideas in the mind"
immense,"Extremely large"
imposter,"A person who pretends to be someone else"
incubator,"A device that maintains conditions for development"
infinity,"A quantity without end or limit"
ingredient,"One component of a mixture or recipe"
insomnia,"The inability to sleep"
instrument,"A tool or device for making music or measuring"
interface,"A point where two systems meet and interact"
invisible,"Unable to be seen"
ironwork,"Work made from iron"
jackhammer,"A powerful drilling tool"
jackrabbit,"A large hare found in North America"
jaguar,"A large spotted wild cat"
javelin,"A light spear thrown in athletics"
jellyroll,"A rolled sponge cake with a filling"
jeweler,"A person who makes or sells jewelry"
jigsaw,"A puzzle made of interlocking pieces"
joystick,"A control device used in gaming or aircraft"
jubilee,"A special anniversary or celebration"
judiciary,"The branch of government that interprets laws"
juggler,"A person who keeps multiple objects in the air"
junction,"A point where roads or paths meet"
keyboard,"A set of keys used for typing or playing music"
kingfisher,"A brightly colored bird that dives for fish"
kiwifruit,"A small fruit with brown skin and green flesh"
knapsack,"A bag carried on the back"
knighthood,"The rank of a knight"
labrador,"A breed of dog known for being friendly"
lacrosse,"A sport played with a stick with a mesh pocket"
ladybird,"A small round beetle with spots"
landscape,"The visible features of an area of land"
landfill,"A site for disposing of waste"
landmark,"A recognizable feature of a landscape"
largemouth,"A type of bass fish with a large mouth"
laughter,"The action or sound of laughing"
lawnmower,"A machine for cutting grass"
leadfoot,"A person who drives too fast"
leopard,"A large spotted wild cat"
letterbox,"A slot in a door for delivering mail"
lightning,"A flash of electrical discharge in a storm"
limestone,"A sedimentary rock used in construction"
lionfish,"A venomous fish with striped markings"
livestock,"Animals kept on a farm"
lobster,"A large marine crustacean"
locksmith,"A person who makes and repairs locks"
longitude,"The distance east or west of the prime meridian"
lovebird,"A small parrot known for its affectionate behavior"
luggage,"Bags and suitcases used when traveling"
lullaby,"A soothing song sung to help a child sleep"
mackerel,"A common sea fish"
magnolia,"A tree with large white or pink flowers"
mailbox,"A box for receiving mail"
mammoth,"An extinct elephant-like animal with long tusks"
mangrove,"A tree that grows in coastal swampy areas"
mansion,"A large and impressive house"
manuscript,"A handwritten or typed document"
marigold,"A bright orange or yellow flower"
marionette,"A puppet controlled by strings"
marshmallow,"A soft sweet confection"
mastermind,"The person who plans a complex scheme"
meadow,"A field of grass and wildflowers"
megaphone,"A device used to amplify the voice"
melancholy,"A feeling of pensive sadness"
meltdown,"A disastrous event or a nuclear accident"
mermaid,"A mythical sea creature that is half human and half fish"
messenger,"A person who carries a message"
metalwork,"Objects made from metal"
migration,"The movement of animals from one place to another"
milestone,"An important event in development"
millipede,"A long insect with many pairs of legs"
mindscape,"The landscape of the mind or imagination"
mistletoe,"A plant used as a Christmas decoration"
mitten,"A covering for the hand with no separate fingers"
molecule,"The smallest unit of a chemical compound"
momentum,"The force of a moving object"
monarch,"A sovereign head of state"
mongoose,"A small animal known for killing snakes"
monolith,"A large single block of stone"
monsoon,"A seasonal wind bringing heavy rainfall"
moonlight,"The light of the moon"
moose,"A large deer found in northern regions"
mural,"A large painting on a wall"
mustard,"A yellow condiment made from mustard seeds"
mystery,"Something unexplained or secret"
narwhal,"A whale with a long spiral tusk"
navigator,"A person who directs the route of a ship or aircraft"
necklace,"A piece of jewelry worn around the neck"
nectar,"A sweet liquid produced by flowers"
nightingale,"A small bird known for its beautiful song"
nightmare,"A frightening dream"
nobleman,"A person of high social rank"
nomad,"A person who moves from place to place"
noodle,"A strip of pasta used in various dishes"
northpole,"The northernmost point on Earth"
nutmeg,"A spice made from the seed of a tropical tree"
oaktree,"A large tree that produces acorns"
obstacle,"Something that blocks the way"
oceanographer,"A scientist who studies the ocean"
offspring,"The young of an animal or plant"
olympian,"An athlete who competes in the Olympic Games"
ominous,"Suggesting something bad is going to happen"
opossum,"A marsupial found in the Americas"
orchard,"A piece of land where fruit trees are grown"
organism,"A living thing"
ostrich,"The largest living bird, unable to fly"
outbreak,"A sudden occurrence of something unpleasant"
outpost,"A remote military station"
overcast,"Covered with cloud"
overlander,"A person who travels over land"
oversized,"Larger than usual"
overwhelm,"To bury or drown beneath a huge mass"
pachyderm,"A large thick-skinned mammal like an elephant"
paddleboat,"A boat moved by paddles"
paintbrush,"A brush used for applying paint"
palindrome,"A word that reads the same forwards and backwards"
panther,"A large wild cat with a black coat"
paperback,"A book with a flexible paper cover"
parakeet,"A small parrot with a long tail"
parkland,"Open land with grass and trees"
partridge,"A plump bird often hunted for sport"
pasture,"Land covered with grass for grazing animals"
patchwork,"Needlework using small pieces of fabric"
pathfinder,"A person who finds a way through unknown areas"
peregrine,"A fast-flying falcon"
periscope,"A device for viewing objects above eye level"
persimmon,"An orange fruit similar to a tomato"
pheasant,"A large game bird with colorful plumage"
piccolo,"A small flute with a high pitch"
pickpocket,"A person who steals from pockets"
pinecone,"The seed-bearing structure of a pine tree"
pipeline,"A long pipe for transporting oil or gas"
piranha,"A fierce freshwater fish with sharp teeth"
pitchfork,"A farm tool with long prongs"
pixelated,"An image made up of visible square pixels"
placebo,"A substance with no medical effect given as medicine"
planetary,"Relating to a planet or the planets"
plankton,"Tiny organisms that drift in the sea"
plantain,"A type of banana or a common weed"
playoff,"A series of games to determine a championship"
plumage,"The feathers of a bird"
plumber,"A tradesperson who installs pipes and fittings"
podium,"A raised platform for a speaker or winner"
poisonous,"Capable of causing illness or death"
pollinators,"Animals that transfer pollen between plants"
pollywog,"A tadpole in its early stage"
pomegranate,"A fruit with seeds surrounded by red flesh"
pondweed,"A plant that grows in ponds"
porcelain,"A delicate type of ceramic"
portfolio,"A collection of creative work"
postmaster,"A person in charge of a post office"
pottery,"Objects made from clay"
predatory,"Relating to an animal that hunts others"
prehistoric,"Relating to the time before written records"
preserves,"Fruit cooked with sugar to make jam"
pretzels,"A baked bread snack twisted into a knot"
primitive,"Relating to an early stage of development"
printmaker,"An artist who makes prints"
prismatic,"Relating to or resembling a prism"
procession,"A group of people moving in an orderly line"
proponent,"A person who advocates something"
protector,"A person who keeps someone safe"
pterosaur,"A flying reptile from the Mesozoic era"
pumpernickel,"A dark rye bread"
puppeteer,"A person who operates puppets"
quicksilver,"Another name for mercury"
raincoat,"A waterproof coat worn in the rain"
rampant,"Spreading or growing uncontrollably"
rattlesnake,"A venomous snake that rattles its tail"
ravine,"A deep narrow valley"
recycle,"To convert waste into reusable material"
redwood,"A very tall species of tree"
reindeer,"A deer species kept by Santa Claus in folklore"
reminder,"Something that helps you remember"
renewable,"Energy from a source that is naturally replenished"
reptilian,"Relating to reptiles"
restless,"Unable to rest or relax"
retriever,"A breed of dog trained to fetch game"
rhododendron,"A flowering shrub with large blooms"
ridgeline,"The top edge of a ridge of hills"
riverstone,"A smooth stone found in a river"
roadrunner,"A fast bird found in the American southwest"
rockslide,"A mass of rocks sliding down a slope"
rollercoaster,"An amusement park ride with loops and hills"
rosemary,"A fragrant herb used in cooking"
roundabout,"A circular road junction"
rudolph,"The fictional red-nosed reindeer"
sapphire,"A precious blue gemstone"
sapling,"A young tree"
sardine,"A small oily fish often canned"
scarlet,"A bright red color"
scavenger,"An animal that feeds on dead matter"
scenery,"The natural features of a landscape"
schoolyard,"The outdoor area of a school"
scoundrel,"A dishonest or unscrupulous person"
scrapbook,"A book for collecting memories and clippings"
seabird,"A bird that lives near the sea"
seahorse,"A small fish with a horse-like head and curled tail"
seasoning,"A substance used to add flavor to food"
seaweed,"A plant that grows in the sea"
seedling,"A young plant grown from a seed"
serenity,"The state of being calm and peaceful"
serpentine,"Having the shape or movement of a snake"
settlement,"A place where people establish a community"
sharepoint,"A place or system for sharing information"
shellfish,"Aquatic animals with a shell"
shepherd,"A person who herds sheep"
shoemaker,"A person who makes or repairs shoes"
shoreline,"The land along the edge of a body of water"
sightseeing,"Visiting places of interest as a tourist"
signpost,"A post with signs indicating directions"
silverfish,"A small wingless insect"
sinkhole,"A hole formed when the ground collapses"
sketchbook,"A book used for drawing"
skyline,"The outline of buildings against the sky"
sleepwalker,"A person who walks while asleep"
slipstream,"A current of air behind a fast-moving object"
smartphone,"A mobile phone with advanced capabilities"
snowboard,"A board used for sliding down snowy slopes"
snowdrop,"A small white flower that blooms in winter"
snowstorm,"A heavy fall of snow with strong winds"
soapstone,"A soft rock used for carving"
songbird,"A bird with a musical call"
soundwave,"A vibration that travels through the air as sound"
southpole,"The southernmost point on Earth"
spacewalk,"An activity performed by an astronaut outside a spacecraft"
spectator,"A person who watches an event"
speedboat,"A fast motorboat"
spiderweb,"A net spun by a spider"
spotlight,"A beam of light focused on a particular area"
springtime,"The season of spring"
staircase,"A set of stairs in a building"
stalagmite,"A column of rock rising from a cave floor"
stampede,"A sudden rush of a crowd or herd"
stargazer,"A person who observes the stars"
statesman,"A skilled political leader"
steamboat,"A boat powered by steam"
steelwork,"Structural work made from steel"
stingray,"A flat fish with a venomous tail spine"
stockade,"A defensive fence made of stakes"
stonework,"Building or construction in stone"
stormcloud,"A dark cloud that brings storms"
storytelling,"The activity of narrating stories"
streamline,"To make more efficient or aerodynamic"
submarine,"An underwater vessel"
sugarcane,"A plant from which sugar is extracted"
sunbeam,"A ray of sunlight"
sunburn,"Redness and soreness caused by the sun"
sundial,"A device that uses shadows to tell time"
sunlight,"Light from the sun"
sunrise,"The moment the sun appears above the horizon"
sunshine,"Bright warm light from the sun"
supernova,"A powerful explosion of a star"
surfboard,"A board used for riding waves"
swordfish,"A large fish with a sword-like bill"
sycamore,"A large deciduous tree"
tailwind,"A wind blowing in the same direction as travel"
tapir,"A large mammal with a short flexible snout"
teapot,"A pot with a spout used for brewing tea"
thunderbolt,"A flash of lightning"
tideline,"The line on a shore left by the tide"
tidepool,"A pool of water left by the retreating tide"
timberland,"Land covered with trees"
timeline,"A graphic representation of events in time"
toadpole,"The aquatic larva of a frog"
topography,"The arrangement of physical features of an area"
tornado,"A rapidly rotating column of air"
totem,"An object serving as an emblem of a group"
trailblazer,"A pioneer or innovator"
trampolinist,"A person who performs on a trampoline"
treetops,"The uppermost branches of trees"
trellis,"A framework for training climbing plants"
trident,"A three-pronged spear"
tripwire,"A wire stretched close to the ground as a trap"
trolleybus,"A bus powered by an overhead electric wire"
